customer_id,customer_tenure,customer_location,customer_type,order_id,order_date,order_value,payment_method,order_frequency,discount_applied,return_status,product_category,product_sku,size,inventory_status,source,engagement_score
CUST00053,7,Mumbai,New,ORD000053,00:05:14,2687.73,UPI,4,0,No,Sweatshirts,SKU0053,S,In Stock,Facebook Ads,92
CUST00054,21,Jaipur,Returning,ORD000054,00:43:15,2844.47,Net Banking,2,0,Yes,Jeans,SKU0054,M,In Stock,Instagram,58
CUST00055,9,Pune,New,ORD000055,00:38:44,1051.57,COD,5,20,No,Shirts,SKU0055,S,In Stock,Facebook Ads,88
CUST00056,39,Hyderabad,Returning,ORD000056,00:19:49,1219.88,Wallet,2,10,No,Dresses,SKU0056,XL,In Stock,Email Marketing,8
CUST00057,18,Kolkata,Returning,ORD000057,00:41:26,2568.39,Credit Card,2,15,No,T-Shirts,SKU0057,XXL,In Stock,Word of Mouth,2
CUST00058,4,Pune,New,ORD000058,00:14:46,1553.51,Wallet,6,0,No,T-Shirts,SKU0058,S,In Stock,Facebook Ads,89
CUST00059,25,Delhi,Returning,ORD000059,00:30:16,3861.24,UPI,9,0,No,Jackets,SKU0059,S,In Stock,Facebook Ads,47
CUST00060,60,Bangalore,Returning,ORD000060,00:33:42,2553.84,Net Banking,4,20,Yes,Shirts,SKU0060,L,In Stock,Facebook Ads,42
CUST00061,14,Mumbai,Returning,ORD000061,00:21:16,5297.5,Net Banking,6,50,No,Dresses,SKU0061,XL,In Stock,Email Marketing,90
CUST00062,50,Chennai,Returning,ORD000062,00:03:58,3730.72,UPI,7,0,Yes,T-Shirts,SKU0062,XXL,In Stock,Facebook Ads,99
CUST00063,58,Chennai,Returning,ORD000063,00:03:04,4155.57,COD,6,30,No,Jeans,SKU0063,M,In Stock,Email Marketing,95
CUST00064,9,Hyderabad,New,ORD000064,00:16:56,2698.85,COD,8,15,No,T-Shirts,SKU0064,S,In Stock,Email Marketing,0
CUST00065,26,Delhi,Returning,ORD000065,00:02:31,2736.04,Net Banking,4,15,No,Dresses,SKU0065,XXL,In Stock,Word of Mouth,56
CUST00066,53,Jaipur,Returning,ORD000066,00:21:59,5096.98,Net Banking,1,15,No,Sweatshirts,SKU0066,M,In Stock,Instagram,52
CUST00067,2,Mumbai,New,ORD000067,00:55:08,1932.56,Credit Card,7,0,No,Sweatshirts,SKU0067,XL,In Stock,Email Marketing,15
CUST00068,20,Delhi,Returning,ORD000068,00:34:46,3320.17,COD,3,0,No,Jackets,SKU0068,XL,In Stock,Google Ads,50
CUST00069,28,Mumbai,Returning,ORD000069,00:00:32,2100.64,UPI,6,20,No,Shirts,SKU0069,XXL,In Stock,Facebook Ads,74
CUST00070,47,Hyderabad,Returning,ORD000070,00:32:48,2097.05,COD,2,5,No,Dresses,SKU0070,M,In Stock,Google Ads,89
CUST00071,60,Hyderabad,Returning,ORD000071,00:05:03,746.66,Credit Card,9,40,No,Jackets,SKU0071,XL,Out of Stock,Facebook Ads,54
CUST00072,7,Jaipur,New,ORD000072,00:53:52,1386.23,Net Banking,1,10,No,T-Shirts,SKU0072,XXL,In Stock,Word of Mouth,0
CUST00073,44,Chennai,Returning,ORD000073,00:11:00,1107.6,Net Banking,6,0,No,T-Shirts,SKU0073,XL,In Stock,Email Marketing,89
CUST00074,8,Delhi,New,ORD000074,00:16:02,3391.55,Credit Card,6,25,No,Sweatshirts,SKU0074,XL,In Stock,Instagram,27
CUST00075,47,Kolkata,Returning,ORD000075,00:14:14,4060.31,UPI,5,0,No,Jackets,SKU0075,XL,In Stock,Email Marketing,52
CUST00076,35,Chennai,Returning,ORD000076,00:59:38,2357.87,Net Banking,5,15,No,Sweatshirts,SKU0076,L,In Stock,Facebook Ads,57
CUST00077,14,Delhi,Returning,ORD000077,00:11:43,2844.44,Wallet,1,20,Yes,Jeans,SKU0077,M,Out of Stock,Instagram,72
CUST00078,17,Chennai,Returning,ORD000078,00:14:03,2271.29,Net Banking,5,40,No,Sweatshirts,SKU0078,XXL,In Stock,Email Marketing,59
CUST00079,36,Kolkata,Returning,ORD000079,00:53:42,1283.84,Wallet,2,25,No,Jeans,SKU0079,XXL,In Stock,Instagram,58
CUST00080,50,Bangalore,Returning,ORD000080,00:04:09,3793.39,Credit Card,7,20,No,T-Shirts,SKU0080,M,In Stock,Facebook Ads,21
CUST00081,40,Bangalore,Returning,ORD000081,00:51:54,3478.8,Credit Card,3,20,No,Jackets,SKU0081,M,In Stock,Word of Mouth,7
CUST00082,4,Jaipur,New,ORD000082,00:11:32,500,Net Banking,4,40,No,Jeans,SKU0082,M,In Stock,Word of Mouth,48
CUST00083,2,Bangalore,New,ORD000083,00:36:35,2075.34,COD,3,0,No,Jackets,SKU0083,M,In Stock,Email Marketing,41
CUST00084,6,Bangalore,New,ORD000084,00:10:27,1176.96,Wallet,3,0,No,Jackets,SKU0084,S,In Stock,Google Ads,26
CUST00085,54,Pune,Returning,ORD000085,00:41:59,1913.59,UPI,4,0,No,Jeans,SKU0085,XXL,In Stock,Facebook Ads,38
CUST00086,42,Mumbai,Returning,ORD000086,00:02:53,1494.35,Net Banking,5,0,No,Shirts,SKU0086,S,In Stock,Email Marketing,82
CUST00087,4,Pune,New,ORD000087,00:15:08,2430.37,UPI,1,20,Yes,Sweatshirts,SKU0087,XL,In Stock,Email Marketing,24
CUST00088,54,Pune,Returning,ORD000088,00:30:38,2005.13,Net Banking,4,20,Yes,Jeans,SKU0088,XL,In Stock,Word of Mouth,37
CUST00089,29,Jaipur,Returning,ORD000089,00:44:20,1973.29,COD,8,15,No,T-Shirts,SKU0089,XXL,In Stock,Instagram,84
CUST00090,18,Pune,Returning,ORD000090,00:15:51,4161.08,COD,7,0,No,Jackets,SKU0090,XL,In Stock,Facebook Ads,23
CUST00091,26,Bangalore,Returning,ORD000091,00:00:11,3335.77,COD,9,25,No,Dresses,SKU0091,M,Out of Stock,Instagram,23
CUST00092,44,Kolkata,Returning,ORD000092,00:35:41,1444.16,COD,5,5,Yes,Jeans,SKU0092,S,In Stock,Facebook Ads,59
CUST00093,34,Jaipur,Returning,ORD000093,00:57:07,1666.68,Credit Card,4,20,No,Sweatshirts,SKU0093,M,In Stock,Google Ads,82
CUST00094,10,Jaipur,New,ORD000094,00:50:49,3237.69,Credit Card,8,15,No,Jackets,SKU0094,XL,Out of Stock,Word of Mouth,49
CUST00095,36,Hyderabad,Returning,ORD000095,00:38:12,3235.63,Wallet,9,5,No,Shirts,SKU0095,S,In Stock,Google Ads,65
CUST00096,14,Jaipur,Returning,ORD000096,00:28:50,1594.33,UPI,7,0,Yes,T-Shirts,SKU0096,M,In Stock,Email Marketing,13
CUST00097,31,Hyderabad,Returning,ORD000097,00:03:25,2149.01,Net Banking,7,0,No,Shirts,SKU0097,XXL,In Stock,Word of Mouth,52
CUST00098,48,Jaipur,Returning,ORD000098,00:21:59,5270.21,Net Banking,5,30,No,Dresses,SKU0098,M,In Stock,Email Marketing,31
CUST00099,15,Mumbai,Returning,ORD000099,00:54:14,1620.18,Credit Card,4,40,No,Jeans,SKU0099,XL,In Stock,Google Ads,95
CUST00100,8,Bangalore,New,ORD000100,00:01:26,5366.21,Net Banking,1,20,No,Jackets,SKU0100,S,In Stock,Facebook Ads,91
CUST00101,14,Jaipur,Returning,ORD000101,00:08:50,4155.5,Credit Card,7,0,No,Jeans,SKU0101,XXL,In Stock,Email Marketing,47
CUST00102,23,Bangalore,Returning,ORD000102,00:08:28,5088.12,Wallet,1,10,No,Sweatshirts,SKU0102,S,In Stock,Instagram,38
CUST00103,60,Bangalore,Returning,ORD000103,00:02:10,1556.39,UPI,1,25,No,Jeans,SKU0103,XXL,In Stock,Facebook Ads,39
CUST00104,57,Chennai,Returning,ORD000104,00:55:19,2247.17,Wallet,5,25,Yes,T-Shirts,SKU0104,S,Out of Stock,Facebook Ads,41
CUST00105,40,Jaipur,Returning,ORD000105,00:21:37,1826.25,COD,9,0,No,Dresses,SKU0105,XL,In Stock,Google Ads,76
CUST00106,21,Delhi,Returning,ORD000106,00:05:46,4190.13,COD,6,0,No,Shirts,SKU0106,XXL,In Stock,Google Ads,75
CUST00107,16,Chennai,Returning,ORD000107,00:45:35,1648.47,COD,3,25,No,Dresses,SKU0107,L,In Stock,Word of Mouth,7
CUST00108,45,Delhi,Returning,ORD000108,00:15:19,3596.82,Wallet,3,5,No,Jackets,SKU0108,S,In Stock,Word of Mouth,78
CUST00109,18,Bangalore,Returning,ORD000109,00:06:08,3517.45,Net Banking,7,0,No,Jeans,SKU0109,S,In Stock,Instagram,25
CUST00110,47,Bangalore,Returning,ORD000110,00:24:30,2427.96,UPI,6,0,No,Jackets,SKU0110,M,In Stock,Facebook Ads,11
CUST00111,53,Chennai,Returning,ORD000111,00:54:03,4447.99,COD,9,15,Yes,Shirts,SKU0111,XXL,In Stock,Instagram,42
CUST00112,24,Chennai,Returning,ORD000112,00:29:55,2661.52,COD,6,30,No,Jackets,SKU0112,L,In Stock,Instagram,50
CUST00113,26,Delhi,Returning,ORD000113,00:10:05,3751.13,COD,5,50,No,Sweatshirts,SKU0113,XL,In Stock,Google Ads,90
CUST00114,25,Hyderabad,Returning,ORD000114,00:06:29,1757.94,UPI,7,15,No,Dresses,SKU0114,M,In Stock,Instagram,81
CUST00115,60,Delhi,Returning,ORD000115,00:37:29,1414.84,COD,1,15,No,Shirts,SKU0115,L,In Stock,Instagram,99
CUST00116,60,Chennai,Returning,ORD000116,00:32:26,3596.72,UPI,7,0,Yes,Shirts,SKU0116,XXL,In Stock,Email Marketing,62
CUST00117,60,Kolkata,Returning,ORD000117,00:19:49,3146.26,COD,3,15,No,Shirts,SKU0117,L,In Stock,Word of Mouth,48
CUST00118,45,Chennai,Returning,ORD000118,00:37:18,2864.96,Wallet,9,5,No,T-Shirts,SKU0118,S,Out of Stock,Word of Mouth,26
CUST00119,41,Kolkata,Returning,ORD000119,00:24:52,1984.47,Wallet,6,20,Yes,Dresses,SKU0119,S,Out of Stock,Facebook Ads,8
CUST00120,29,Mumbai,Returning,ORD000120,00:04:41,4823.81,UPI,9,5,No,Jackets,SKU0120,M,In Stock,Word of Mouth,38
CUST00121,15,Chennai,Returning,ORD000121,00:28:50,825.12,Wallet,5,0,No,Shirts,SKU0121,XXL,In Stock,Facebook Ads,64
CUST00122,45,Mumbai,Returning,ORD000122,00:36:02,742.99,UPI,7,0,Yes,Dresses,SKU0122,XXL,In Stock,Email Marketing,70
CUST00123,1,Hyderabad,New,ORD000123,00:13:31,3913.25,Wallet,4,5,No,Shirts,SKU0123,L,In Stock,Word of Mouth,89
CUST00124,25,Delhi,Returning,ORD000124,00:24:09,3790.14,Wallet,7,0,No,Sweatshirts,SKU0124,M,In Stock,Email Marketing,70
CUST00125,7,Kolkata,New,ORD000125,00:07:23,3030.64,UPI,1,0,No,Sweatshirts,SKU0125,XXL,In Stock,Word of Mouth,6
CUST00126,9,Delhi,New,ORD000126,00:48:50,2068.07,Net Banking,7,50,No,Sweatshirts,SKU0126,S,In Stock,Word of Mouth,71
CUST00127,24,Mumbai,Returning,ORD000127,00:48:07,3253.63,Wallet,8,10,Yes,Jeans,SKU0127,L,In Stock,Email Marketing,79
CUST00128,1,Kolkata,New,ORD000128,00:18:33,5081.25,COD,5,15,Yes,Shirts,SKU0128,XL,In Stock,Instagram,66
CUST00129,44,Delhi,Returning,ORD000129,00:54:25,6273.32,Net Banking,2,30,No,Jeans,SKU0129,S,In Stock,Instagram,9
CUST00130,8,Chennai,New,ORD000130,00:08:50,500,UPI,5,50,No,Dresses,SKU0130,M,In Stock,Instagram,70
CUST00131,24,Bangalore,Returning,ORD000131,00:41:48,1871.62,Net Banking,6,15,No,Jeans,SKU0131,XXL,In Stock,Instagram,84
CUST00132,11,Mumbai,New,ORD000132,00:07:12,1777.34,Credit Card,2,30,Yes,Dresses,SKU0132,S,In Stock,Word of Mouth,52
CUST00133,51,Delhi,Returning,ORD000133,00:44:30,4939.78,Credit Card,6,5,No,Dresses,SKU0133,XL,In Stock,Google Ads,100
CUST00134,17,Mumbai,Returning,ORD000134,00:24:41,500,Wallet,6,5,No,Dresses,SKU0134,XL,In Stock,Email Marketing,94
CUST00135,8,Pune,New,ORD000135,00:54:57,3270.75,Wallet,1,10,No,Jackets,SKU0135,M,In Stock,Google Ads,86
CUST00136,35,Mumbai,Returning,ORD000136,00:28:39,2114.78,COD,1,20,No,Jeans,SKU0136,S,Out of Stock,Google Ads,56
CUST00137,35,Kolkata,Returning,ORD000137,00:58:34,4957.17,Net Banking,3,20,Yes,Jackets,SKU0137,L,In Stock,Facebook Ads,90
CUST00138,33,Pune,Returning,ORD000138,00:30:27,4751.56,Credit Card,3,5,No,Shirts,SKU0138,S,In Stock,Instagram,85
CUST00139,59,Jaipur,Returning,ORD000139,00:55:41,3048.26,Wallet,4,0,No,Jeans,SKU0139,XL,In Stock,Word of Mouth,26
CUST00140,5,Kolkata,New,ORD000140,00:18:55,500,Net Banking,2,20,No,Shirts,SKU0140,M,In Stock,Instagram,53
CUST00141,42,Bangalore,Returning,ORD000141,00:11:43,1639.17,Wallet,9,0,No,Shirts,SKU0141,M,Out of Stock,Instagram,3
CUST00142,39,Pune,Returning,ORD000142,00:33:42,1803.41,Wallet,7,15,No,Dresses,SKU0142,L,In Stock,Google Ads,87
CUST00143,58,Jaipur,Returning,ORD000143,00:18:23,510.32,Credit Card,7,20,No,Jeans,SKU0143,M,In Stock,Facebook Ads,22
CUST00144,41,Chennai,Returning,ORD000144,00:46:51,4231.88,Credit Card,6,25,No,Shirts,SKU0144,M,In Stock,Instagram,47
CUST00145,28,Mumbai,Returning,ORD000145,00:49:33,500,Wallet,3,25,No,Sweatshirts,SKU0145,M,In Stock,Email Marketing,82
CUST00146,7,Delhi,New,ORD000146,00:36:35,5447.99,UPI,6,30,No,Shirts,SKU0146,M,In Stock,Email Marketing,41
CUST00147,9,Hyderabad,New,ORD000147,00:14:25,5444.23,Wallet,8,10,No,Sweatshirts,SKU0147,M,In Stock,Instagram,2
CUST00148,8,Mumbai,New,ORD000148,00:10:49,1922.41,Wallet,8,25,No,Jeans,SKU0148,XL,In Stock,Google Ads,90
CUST00149,12,Jaipur,New,ORD000149,00:21:16,2992.74,COD,9,20,No,Jackets,SKU0149,S,In Stock,Google Ads,2
CUST00150,34,Mumbai,Returning,ORD000150,00:47:56,2391.57,COD,1,0,No,Jeans,SKU0150,XXL,In Stock,Word of Mouth,27
CUST00151,33,Bangalore,Returning,ORD000151,00:29:33,3852.74,COD,1,0,No,Jackets,SKU0151,M,In Stock,Facebook Ads,62
CUST00152,48,Chennai,Returning,ORD000152,00:10:05,4412.02,UPI,3,0,Yes,Jackets,SKU0152,XXL,In Stock,Google Ads,80
CUST00153,55,Hyderabad,Returning,ORD000153,00:39:28,2887,UPI,3,10,No,Jeans,SKU0153,XXL,In Stock,Word of Mouth,30
CUST00154,23,Pune,Returning,ORD000154,00:57:29,3203.68,Wallet,8,20,No,Shirts,SKU0154,XL,In Stock,Email Marketing,9
CUST00155,24,Pune,Returning,ORD000155,00:35:51,1569.09,COD,1,30,No,T-Shirts,SKU0155,M,In Stock,Email Marketing,48
CUST00156,37,Pune,Returning,ORD000156,00:53:42,3155.07,UPI,2,0,No,Shirts,SKU0156,XXL,In Stock,Email Marketing,85
CUST00157,35,Jaipur,Returning,ORD000157,00:26:18,2744.14,Credit Card,2,0,No,Shirts,SKU0157,M,In Stock,Instagram,93
CUST00158,44,Kolkata,Returning,ORD000158,00:25:14,1132.31,Wallet,3,50,No,Dresses,SKU0158,L,In Stock,Facebook Ads,20
CUST00159,40,Kolkata,Returning,ORD000159,00:39:38,2478.94,Net Banking,6,0,No,Dresses,SKU0159,L,In Stock,Word of Mouth,99
CUST00160,22,Delhi,Returning,ORD000160,00:57:18,1925.23,Wallet,1,10,No,Shirts,SKU0160,L,In Stock,Facebook Ads,52
CUST00161,27,Hyderabad,Returning,ORD000161,00:42:42,1585.76,Net Banking,2,15,No,Sweatshirts,SKU0161,XXL,In Stock,Instagram,86
CUST00162,35,Pune,Returning,ORD000162,00:34:36,780.26,COD,1,15,No,Jackets,SKU0162,L,In Stock,Word of Mouth,75
CUST00163,1,Kolkata,New,ORD000163,00:47:34,2593.75,Net Banking,5,0,No,Dresses,SKU0163,XL,In Stock,Word of Mouth,88
CUST00164,35,Jaipur,Returning,ORD000164,00:43:25,1329.29,COD,7,0,Yes,Shirts,SKU0164,XL,In Stock,Google Ads,53
CUST00165,37,Delhi,Returning,ORD000165,00:35:19,1793.34,Credit Card,8,0,No,T-Shirts,SKU0165,XXL,In Stock,Facebook Ads,56
CUST00166,47,Chennai,Returning,ORD000166,00:26:08,4112.69,Net Banking,1,15,No,Sweatshirts,SKU0166,M,In Stock,Facebook Ads,19
CUST00167,14,Delhi,Returning,ORD000167,00:40:43,3448.17,Wallet,7,15,No,Jeans,SKU0167,S,In Stock,Google Ads,48
CUST00168,3,Kolkata,New,ORD000168,00:50:05,1031.85,COD,5,0,No,Shirts,SKU0168,M,In Stock,Email Marketing,6
CUST00169,1,Bangalore,New,ORD000169,00:29:11,3027.84,Wallet,1,20,No,Shirts,SKU0169,M,In Stock,Instagram,28
CUST00170,5,Jaipur,New,ORD000170,00:40:54,2699.17,UPI,3,30,No,Jackets,SKU0170,M,In Stock,Facebook Ads,47
CUST00171,26,Bangalore,Returning,ORD000171,00:43:25,5052.54,COD,7,0,No,Sweatshirts,SKU0171,M,In Stock,Google Ads,92
CUST00172,55,Pune,Returning,ORD000172,00:22:21,4574.72,Net Banking,1,10,No,Dresses,SKU0172,S,In Stock,Word of Mouth,12
CUST00173,14,Bangalore,Returning,ORD000173,00:24:52,500,COD,7,20,No,Dresses,SKU0173,L,Out of Stock,Google Ads,2
CUST00174,39,Pune,Returning,ORD000174,00:10:38,3791.69,Wallet,5,0,Yes,Dresses,SKU0174,M,Out of Stock,Email Marketing,1
CUST00175,27,Pune,Returning,ORD000175,00:15:41,4397.8,Credit Card,1,5,No,Jeans,SKU0175,XL,In Stock,Instagram,15
CUST00176,9,Kolkata,New,ORD000176,00:06:29,3339.04,COD,1,20,No,Sweatshirts,SKU0176,XXL,Out of Stock,Email Marketing,93
CUST00177,15,Bangalore,Returning,ORD000177,00:20:32,1996.88,Net Banking,1,30,Yes,Sweatshirts,SKU0177,XXL,In Stock,Word of Mouth,5
CUST00178,15,Pune,Returning,ORD000178,00:41:05,6120.09,UPI,9,30,No,Dresses,SKU0178,XL,In Stock,Word of Mouth,44
CUST00179,26,Hyderabad,Returning,ORD000179,00:54:57,3477.11,Credit Card,3,15,No,Dresses,SKU0179,M,In Stock,Word of Mouth,70
CUST00180,42,Chennai,Returning,ORD000180,00:36:45,5464.82,UPI,5,25,Yes,Jackets,SKU0180,S,Out of Stock,Word of Mouth,4
CUST00181,60,Delhi,Returning,ORD000181,00:51:00,4527.22,COD,9,5,No,T-Shirts,SKU0181,L,In Stock,Google Ads,55
CUST00182,13,Delhi,Returning,ORD000182,00:24:41,3196.2,Wallet,6,20,No,T-Shirts,SKU0182,XXL,In Stock,Word of Mouth,70
CUST00183,51,Kolkata,Returning,ORD000183,00:33:52,1630.45,Wallet,9,10,Yes,Shirts,SKU0183,L,In Stock,Word of Mouth,97
CUST00184,32,Bangalore,Returning,ORD000184,00:05:24,2463.84,Net Banking,8,0,No,Shirts,SKU0184,S,In Stock,Google Ads,31
CUST00185,39,Bangalore,Returning,ORD000185,00:22:31,2167.13,Wallet,8,25,No,Sweatshirts,SKU0185,XXL,In Stock,Word of Mouth,48
CUST00186,49,Pune,Returning,ORD000186,00:11:53,678.22,Credit Card,1,15,No,Sweatshirts,SKU0186,L,In Stock,Email Marketing,12
CUST00187,52,Jaipur,Returning,ORD000187,00:54:14,3475.42,Wallet,9,5,No,Jeans,SKU0187,S,In Stock,Email Marketing,29
CUST00188,32,Mumbai,Returning,ORD000188,00:25:57,4851.03,Net Banking,6,40,No,Jeans,SKU0188,L,In Stock,Facebook Ads,24
