customer_id,customer_tenure,customer_location,customer_type,order_id,order_date,order_value,payment_method,order_frequency,discount_applied,return_status,product_category,product_sku,size,inventory_status,source,engagement_score,tenure_category,customer_lifetime_value,total_sales,risk_of_stockout
CUST00029,21,Chennai,Returning,ORD000029,00:16:24,2276.22,COD,8,20,Yes,Shirts,SKU0029,M,In Stock,Email Marketing,79,Low,18209.76,1820.9759999999999,True
CUST00030,33,Chennai,Returning,ORD000030,00:32:48,1510.88,Net Banking,3,15,Yes,Jackets,SKU0030,S,In Stock,Email Marketing,69,Medium,4532.64,1284.248,False
CUST00031,12,Kolkata,New,ORD000031,00:47:02,1785.43,COD,6,10,No,Shirts,SKU0031,M,In Stock,Google Ads,6,Very Low,10712.58,1606.8870000000002,True
CUST00032,58,Delhi,Returning,ORD000032,00:33:31,3395.96,Wallet,1,0,Yes,Sweatshirts,SKU0032,L,In Stock,Google Ads,49,High,3395.96,3395.96,False
CUST00033,22,Bangalore,Returning,ORD000033,00:12:26,2307.68,UPI,7,25,Yes,Jeans,SKU0033,S,In Stock,Instagram,13,Low,16153.759999999998,1730.7599999999998,True
CUST00034,44,Bangalore,Returning,ORD000034,00:36:13,1748.29,Wallet,8,0,Yes,Dresses,SKU0034,XL,In Stock,Word of Mouth,37,Medium,13986.32,1748.29,True
CUST00035,25,Pune,Returning,ORD000035,00:40:43,3202.85,COD,8,20,Yes,T-Shirts,SKU0035,L,In Stock,Facebook Ads,78,Low,25622.8,2562.28,True
CUST00036,49,Kolkata,Returning,ORD000036,00:01:16,3262.28,UPI,3,0,Yes,Dresses,SKU0036,S,In Stock,Email Marketing,46,High,9786.84,3262.28,False
CUST00037,27,Jaipur,Returning,ORD000037,00:56:24,626.24,Credit Card,1,20,Yes,Jeans,SKU0037,XXL,In Stock,Email Marketing,32,Low,626.24,500.992,False
CUST00038,59,Hyderabad,Returning,ORD000038,00:58:23,3357.22,Credit Card,9,25,Yes,Jeans,SKU0038,M,In Stock,Instagram,42,High,30214.98,2517.915,True
CUST00039,42,Delhi,Returning,ORD000039,00:32:37,6252.55,Net Banking,6,0,Yes,Sweatshirts,SKU0039,S,In Stock,Email Marketing,90,Medium,37515.3,6252.55,True
CUST00040,28,Kolkata,Returning,ORD000040,00:47:34,3204.43,COD,9,0,Yes,Shirts,SKU0040,M,In Stock,Word of Mouth,28,Low,28839.87,3204.43,True
CUST00041,60,Delhi,Returning,ORD000041,00:11:32,500.0,COD,7,0,Yes,Shirts,SKU0041,XXL,In Stock,Instagram,56,High,3500.0,500.0,True
CUST00042,16,Delhi,Returning,ORD000042,00:47:56,2766.06,Credit Card,1,20,Yes,Jeans,SKU0042,S,In Stock,Word of Mouth,100,Low,2766.06,2212.848,False
CUST00043,15,Delhi,Returning,ORD000043,00:46:29,500.0,Wallet,1,30,Yes,Sweatshirts,SKU0043,XL,In Stock,Instagram,4,Very Low,500.0,350.0,False
CUST00044,47,Kolkata,Returning,ORD000044,00:51:21,7251.06,UPI,6,0,Yes,Sweatshirts,SKU0044,L,In Stock,Email Marketing,92,High,43506.36,7251.06,True
CUST00045,51,Pune,Returning,ORD000045,00:15:41,5853.51,Wallet,5,25,Yes,Jackets,SKU0045,S,Out of Stock,Instagram,95,High,29267.550000000003,4390.1325,False
CUST00046,44,Bangalore,Returning,ORD000046,00:46:18,1501.09,Wallet,9,5,Yes,T-Shirts,SKU0046,XXL,In Stock,Google Ads,59,Medium,13509.81,1426.0355,True
CUST00047,55,Bangalore,Returning,ORD000047,00:46:40,500.0,Credit Card,2,10,Yes,Shirts,SKU0047,S,In Stock,Facebook Ads,69,High,1000.0,450.0,False
CUST00048,52,Pune,Returning,ORD000048,00:31:10,1182.44,Credit Card,8,40,Yes,Jeans,SKU0048,M,Out of Stock,Email Marketing,1,High,9459.52,709.464,False
CUST00049,57,Delhi,Returning,ORD000049,00:44:52,2228.51,Credit Card,5,5,Yes,Jackets,SKU0049,S,In Stock,Facebook Ads,69,High,11142.550000000001,2117.0845,False
CUST00050,3,Hyderabad,New,ORD000050,00:04:09,500.0,Net Banking,2,10,No,Dresses,SKU0050,XL,In Stock,Email Marketing,42,Very Low,1000.0,450.0,False
CUST00051,37,Mumbai,Returning,ORD000051,00:26:29,2396.47,Wallet,6,0,Yes,Shirts,SKU0051,S,In Stock,Facebook Ads,3,Medium,14378.82,2396.47,True
CUST00052,51,Kolkata,Returning,ORD000052,00:33:20,2218.63,COD,8,0,Yes,T-Shirts,SKU0052,L,In Stock,Google Ads,55,High,17749.04,2218.63,True
CUST00053,7,Mumbai,New,ORD000053,00:05:14,2687.73,UPI,4,0,No,Sweatshirts,SKU0053,S,In Stock,Facebook Ads,92,Very Low,10750.92,2687.73,False
CUST00054,21,Jaipur,Returning,ORD000054,00:43:15,2844.47,Net Banking,2,0,Yes,Jeans,SKU0054,M,In Stock,Instagram,58,Low,5688.94,2844.47,False
CUST00055,9,Pune,New,ORD000055,00:38:44,1051.57,COD,5,20,No,Shirts,SKU0055,S,In Stock,Facebook Ads,88,Very Low,5257.849999999999,841.256,False
CUST00056,39,Hyderabad,Returning,ORD000056,00:19:49,1219.88,Wallet,2,10,Yes,Dresses,SKU0056,XL,In Stock,Email Marketing,8,Medium,2439.76,1097.892,False
CUST00057,18,Kolkata,Returning,ORD000057,00:41:26,2568.39,Credit Card,2,15,Yes,T-Shirts,SKU0057,XXL,In Stock,Word of Mouth,2,Low,5136.78,2183.1315,False
CUST00058,4,Pune,New,ORD000058,00:14:46,1553.51,Wallet,6,0,No,T-Shirts,SKU0058,S,In Stock,Facebook Ads,89,Very Low,9321.06,1553.51,True
CUST00059,25,Delhi,Returning,ORD000059,00:30:16,3861.24,UPI,9,0,Yes,Jackets,SKU0059,S,In Stock,Facebook Ads,47,Low,34751.159999999996,3861.24,True
CUST00060,60,Bangalore,Returning,ORD000060,00:33:42,2553.84,Net Banking,4,20,Yes,Shirts,SKU0060,L,In Stock,Facebook Ads,42,High,10215.36,2043.0720000000001,False
CUST00061,14,Mumbai,Returning,ORD000061,00:21:16,5297.5,Net Banking,6,50,Yes,Dresses,SKU0061,XL,In Stock,Email Marketing,90,Very Low,31785.0,2648.75,True
CUST00062,50,Chennai,Returning,ORD000062,00:03:58,3730.72,UPI,7,0,Yes,T-Shirts,SKU0062,XXL,In Stock,Facebook Ads,99,High,26115.039999999997,3730.72,True
CUST00063,58,Chennai,Returning,ORD000063,00:03:04,4155.57,COD,6,30,Yes,Jeans,SKU0063,M,In Stock,Email Marketing,95,High,24933.42,2908.8989999999994,True
CUST00064,9,Hyderabad,New,ORD000064,00:16:56,2698.85,COD,8,15,No,T-Shirts,SKU0064,S,In Stock,Email Marketing,0,Very Low,21590.8,2294.0225,True
CUST00065,26,Delhi,Returning,ORD000065,00:02:31,2736.04,Net Banking,4,15,Yes,Dresses,SKU0065,XXL,In Stock,Word of Mouth,56,Low,10944.16,2325.634,False
CUST00066,53,Jaipur,Returning,ORD000066,00:21:59,5096.98,Net Banking,1,15,Yes,Sweatshirts,SKU0066,M,In Stock,Instagram,52,High,5096.98,4332.432999999999,False
CUST00067,2,Mumbai,New,ORD000067,00:55:08,1932.56,Credit Card,7,0,No,Sweatshirts,SKU0067,XL,In Stock,Email Marketing,15,Very Low,13527.92,1932.56,True
CUST00068,20,Delhi,Returning,ORD000068,00:34:46,3320.17,COD,3,0,Yes,Jackets,SKU0068,XL,In Stock,Google Ads,50,Low,9960.51,3320.17,False
CUST00069,28,Mumbai,Returning,ORD000069,00:00:32,2100.64,UPI,6,20,Yes,Shirts,SKU0069,XXL,In Stock,Facebook Ads,74,Low,12603.84,1680.512,True
CUST00070,47,Hyderabad,Returning,ORD000070,00:32:48,2097.05,COD,2,5,Yes,Dresses,SKU0070,M,In Stock,Google Ads,89,High,4194.1,1992.1975,False
CUST00071,60,Hyderabad,Returning,ORD000071,00:05:03,746.66,Credit Card,9,40,Yes,Jackets,SKU0071,XL,Out of Stock,Facebook Ads,54,High,6719.94,447.996,False
CUST00072,7,Jaipur,New,ORD000072,00:53:52,1386.23,Net Banking,1,10,No,T-Shirts,SKU0072,XXL,In Stock,Word of Mouth,0,Very Low,1386.23,1247.607,False
CUST00073,44,Chennai,Returning,ORD000073,00:11:00,1107.6,Net Banking,6,0,Yes,T-Shirts,SKU0073,XL,In Stock,Email Marketing,89,Medium,6645.599999999999,1107.6,True
CUST00074,8,Delhi,New,ORD000074,00:16:02,3391.55,Credit Card,6,25,No,Sweatshirts,SKU0074,XL,In Stock,Instagram,27,Very Low,20349.300000000003,2543.6625000000004,True
CUST00075,47,Kolkata,Returning,ORD000075,00:14:14,4060.31,UPI,5,0,Yes,Jackets,SKU0075,XL,In Stock,Email Marketing,52,High,20301.55,4060.31,False
CUST00076,35,Chennai,Returning,ORD000076,00:59:38,2357.87,Net Banking,5,15,Yes,Sweatshirts,SKU0076,L,In Stock,Facebook Ads,57,Medium,11789.349999999999,2004.1895,False
CUST00077,14,Delhi,Returning,ORD000077,00:11:43,2844.44,Wallet,1,20,Yes,Jeans,SKU0077,M,Out of Stock,Instagram,72,Very Low,2844.44,2275.552,False
CUST00078,17,Chennai,Returning,ORD000078,00:14:03,2271.29,Net Banking,5,40,Yes,Sweatshirts,SKU0078,XXL,In Stock,Email Marketing,59,Low,11356.45,1362.774,False
CUST00079,36,Kolkata,Returning,ORD000079,00:53:42,1283.84,Wallet,2,25,Yes,Jeans,SKU0079,XXL,In Stock,Instagram,58,Medium,2567.68,962.8799999999999,False
CUST00080,50,Bangalore,Returning,ORD000080,00:04:09,3793.39,Credit Card,7,20,Yes,T-Shirts,SKU0080,M,In Stock,Facebook Ads,21,High,26553.73,3034.712,True
CUST00081,40,Bangalore,Returning,ORD000081,00:51:54,3478.8,Credit Card,3,20,Yes,Jackets,SKU0081,M,In Stock,Word of Mouth,7,Medium,10436.400000000001,2783.0400000000004,False
CUST00082,4,Jaipur,New,ORD000082,00:11:32,500.0,Net Banking,4,40,No,Jeans,SKU0082,M,In Stock,Word of Mouth,48,Very Low,2000.0,300.0,False
CUST00083,2,Bangalore,New,ORD000083,00:36:35,2075.34,COD,3,0,No,Jackets,SKU0083,M,In Stock,Email Marketing,41,Very Low,6226.02,2075.34,False
CUST00084,6,Bangalore,New,ORD000084,00:10:27,1176.96,Wallet,3,0,No,Jackets,SKU0084,S,In Stock,Google Ads,26,Very Low,3530.88,1176.96,False
CUST00085,54,Pune,Returning,ORD000085,00:41:59,1913.59,UPI,4,0,Yes,Jeans,SKU0085,XXL,In Stock,Facebook Ads,38,High,7654.36,1913.59,False
CUST00086,42,Mumbai,Returning,ORD000086,00:02:53,1494.35,Net Banking,5,0,Yes,Shirts,SKU0086,S,In Stock,Email Marketing,82,Medium,7471.75,1494.35,False
CUST00087,4,Pune,New,ORD000087,00:15:08,2430.37,UPI,1,20,No,Sweatshirts,SKU0087,XL,In Stock,Email Marketing,24,Very Low,2430.37,1944.296,False
CUST00088,54,Pune,Returning,ORD000088,00:30:38,2005.13,Net Banking,4,20,Yes,Jeans,SKU0088,XL,In Stock,Word of Mouth,37,High,8020.52,1604.1040000000003,False
CUST00089,29,Jaipur,Returning,ORD000089,00:44:20,1973.29,COD,8,15,Yes,T-Shirts,SKU0089,XXL,In Stock,Instagram,84,Low,15786.32,1677.2965,True
CUST00090,18,Pune,Returning,ORD000090,00:15:51,4161.08,COD,7,0,Yes,Jackets,SKU0090,XL,In Stock,Facebook Ads,23,Low,29127.559999999998,4161.08,True
CUST00091,26,Bangalore,Returning,ORD000091,00:00:11,3335.77,COD,9,25,Yes,Dresses,SKU0091,M,Out of Stock,Instagram,23,Low,30021.93,2501.8275,False
CUST00092,44,Kolkata,Returning,ORD000092,00:35:41,1444.16,COD,5,5,Yes,Jeans,SKU0092,S,In Stock,Facebook Ads,59,Medium,7220.8,1371.952,False
CUST00093,34,Jaipur,Returning,ORD000093,00:57:07,1666.68,Credit Card,4,20,Yes,Sweatshirts,SKU0093,M,In Stock,Google Ads,82,Medium,6666.72,1333.344,False
CUST00094,10,Jaipur,New,ORD000094,00:50:49,3237.69,Credit Card,8,15,No,Jackets,SKU0094,XL,Out of Stock,Word of Mouth,49,Very Low,25901.52,2752.0365,False
CUST00095,36,Hyderabad,Returning,ORD000095,00:38:12,3235.63,Wallet,9,5,Yes,Shirts,SKU0095,S,In Stock,Google Ads,65,Medium,29120.670000000002,3073.8485,True
CUST00096,14,Jaipur,Returning,ORD000096,00:28:50,1594.33,UPI,7,0,Yes,T-Shirts,SKU0096,M,In Stock,Email Marketing,13,Very Low,11160.31,1594.33,True
CUST00097,31,Hyderabad,Returning,ORD000097,00:03:25,2149.01,Net Banking,7,0,Yes,Shirts,SKU0097,XXL,In Stock,Word of Mouth,52,Medium,15043.070000000002,2149.01,True
CUST00098,48,Jaipur,Returning,ORD000098,00:21:59,5270.21,Net Banking,5,30,Yes,Dresses,SKU0098,M,In Stock,Email Marketing,31,High,26351.05,3689.147,False
CUST00099,15,Mumbai,Returning,ORD000099,00:54:14,1620.18,Credit Card,4,40,Yes,Jeans,SKU0099,XL,In Stock,Google Ads,95,Very Low,6480.72,972.108,False
CUST00100,8,Bangalore,New,ORD000100,00:01:26,5366.21,Net Banking,1,20,No,Jackets,SKU0100,S,In Stock,Facebook Ads,91,Very Low,5366.21,4292.968,False
CUST00101,14,Jaipur,Returning,ORD000101,00:08:50,4155.5,Credit Card,7,0,Yes,Jeans,SKU0101,XXL,In Stock,Email Marketing,47,Very Low,29088.5,4155.5,True
CUST00102,23,Bangalore,Returning,ORD000102,00:08:28,5088.12,Wallet,1,10,Yes,Sweatshirts,SKU0102,S,In Stock,Instagram,38,Low,5088.12,4579.308,False
CUST00103,60,Bangalore,Returning,ORD000103,00:02:10,1556.39,UPI,1,25,Yes,Jeans,SKU0103,XXL,In Stock,Facebook Ads,39,High,1556.39,1167.2925,False
CUST00104,57,Chennai,Returning,ORD000104,00:55:19,2247.17,Wallet,5,25,Yes,T-Shirts,SKU0104,S,Out of Stock,Facebook Ads,41,High,11235.85,1685.3775,False
CUST00105,40,Jaipur,Returning,ORD000105,00:21:37,1826.25,COD,9,0,Yes,Dresses,SKU0105,XL,In Stock,Google Ads,76,Medium,16436.25,1826.25,True
CUST00106,21,Delhi,Returning,ORD000106,00:05:46,4190.13,COD,6,0,Yes,Shirts,SKU0106,XXL,In Stock,Google Ads,75,Low,25140.78,4190.13,True
CUST00107,16,Chennai,Returning,ORD000107,00:45:35,1648.47,COD,3,25,Yes,Dresses,SKU0107,L,In Stock,Word of Mouth,7,Low,4945.41,1236.3525,False
CUST00108,45,Delhi,Returning,ORD000108,00:15:19,3596.82,Wallet,3,5,Yes,Jackets,SKU0108,S,In Stock,Word of Mouth,78,Medium,10790.460000000001,3416.979,False
CUST00109,18,Bangalore,Returning,ORD000109,00:06:08,3517.45,Net Banking,7,0,Yes,Jeans,SKU0109,S,In Stock,Instagram,25,Low,24622.149999999998,3517.45,True
CUST00110,47,Bangalore,Returning,ORD000110,00:24:30,2427.96,UPI,6,0,Yes,Jackets,SKU0110,M,In Stock,Facebook Ads,11,High,14567.76,2427.96,True
CUST00111,53,Chennai,Returning,ORD000111,00:54:03,4447.99,COD,9,15,Yes,Shirts,SKU0111,XXL,In Stock,Instagram,42,High,40031.909999999996,3780.7915,True
CUST00112,24,Chennai,Returning,ORD000112,00:29:55,2661.52,COD,6,30,Yes,Jackets,SKU0112,L,In Stock,Instagram,50,Low,15969.119999999999,1863.0639999999999,True
CUST00113,26,Delhi,Returning,ORD000113,00:10:05,3751.13,COD,5,50,Yes,Sweatshirts,SKU0113,XL,In Stock,Google Ads,90,Low,18755.65,1875.565,False
CUST00114,25,Hyderabad,Returning,ORD000114,00:06:29,1757.94,UPI,7,15,Yes,Dresses,SKU0114,M,In Stock,Instagram,81,Low,12305.58,1494.249,True
CUST00115,60,Delhi,Returning,ORD000115,00:37:29,1414.84,COD,1,15,Yes,Shirts,SKU0115,L,In Stock,Instagram,99,High,1414.84,1202.6139999999998,False
CUST00116,60,Chennai,Returning,ORD000116,00:32:26,3596.72,UPI,7,0,Yes,Shirts,SKU0116,XXL,In Stock,Email Marketing,62,High,25177.039999999997,3596.72,True
CUST00117,60,Kolkata,Returning,ORD000117,00:19:49,3146.26,COD,3,15,Yes,Shirts,SKU0117,L,In Stock,Word of Mouth,48,High,9438.78,2674.321,False
CUST00118,45,Chennai,Returning,ORD000118,00:37:18,2864.96,Wallet,9,5,Yes,T-Shirts,SKU0118,S,Out of Stock,Word of Mouth,26,Medium,25784.64,2721.712,False
CUST00119,41,Kolkata,Returning,ORD000119,00:24:52,1984.47,Wallet,6,20,Yes,Dresses,SKU0119,S,Out of Stock,Facebook Ads,8,Medium,11906.82,1587.576,False
CUST00120,29,Mumbai,Returning,ORD000120,00:04:41,4823.81,UPI,9,5,Yes,Jackets,SKU0120,M,In Stock,Word of Mouth,38,Low,43414.29,4582.6195,True
CUST00121,15,Chennai,Returning,ORD000121,00:28:50,825.12,Wallet,5,0,Yes,Shirts,SKU0121,XXL,In Stock,Facebook Ads,64,Very Low,4125.6,825.12,False
CUST00122,45,Mumbai,Returning,ORD000122,00:36:02,742.99,UPI,7,0,Yes,Dresses,SKU0122,XXL,In Stock,Email Marketing,70,Medium,5200.93,742.99,True
CUST00123,1,Hyderabad,New,ORD000123,00:13:31,3913.25,Wallet,4,5,No,Shirts,SKU0123,L,In Stock,Word of Mouth,89,Very Low,15653.0,3717.5874999999996,False
CUST00124,25,Delhi,Returning,ORD000124,00:24:09,3790.14,Wallet,7,0,Yes,Sweatshirts,SKU0124,M,In Stock,Email Marketing,70,Low,26530.98,3790.14,True
CUST00125,7,Kolkata,New,ORD000125,00:07:23,3030.64,UPI,1,0,No,Sweatshirts,SKU0125,XXL,In Stock,Word of Mouth,6,Very Low,3030.64,3030.64,False
CUST00126,9,Delhi,New,ORD000126,00:48:50,2068.07,Net Banking,7,50,No,Sweatshirts,SKU0126,S,In Stock,Word of Mouth,71,Very Low,14476.490000000002,1034.035,True
CUST00127,24,Mumbai,Returning,ORD000127,00:48:07,3253.63,Wallet,8,10,Yes,Jeans,SKU0127,L,In Stock,Email Marketing,79,Low,26029.04,2928.2670000000003,True
CUST00128,1,Kolkata,New,ORD000128,00:18:33,5081.25,COD,5,15,No,Shirts,SKU0128,XL,In Stock,Instagram,66,Very Low,25406.25,4319.0625,False
CUST00129,44,Delhi,Returning,ORD000129,00:54:25,6273.32,Net Banking,2,30,Yes,Jeans,SKU0129,S,In Stock,Instagram,9,Medium,12546.64,4391.324,False
CUST00130,8,Chennai,New,ORD000130,00:08:50,500.0,UPI,5,50,No,Dresses,SKU0130,M,In Stock,Instagram,70,Very Low,2500.0,250.0,False
CUST00131,24,Bangalore,Returning,ORD000131,00:41:48,1871.62,Net Banking,6,15,Yes,Jeans,SKU0131,XXL,In Stock,Instagram,84,Low,11229.72,1590.877,True
CUST00132,11,Mumbai,New,ORD000132,00:07:12,1777.34,Credit Card,2,30,No,Dresses,SKU0132,S,In Stock,Word of Mouth,52,Very Low,3554.68,1244.138,False
CUST00133,51,Delhi,Returning,ORD000133,00:44:30,4939.78,Credit Card,6,5,Yes,Dresses,SKU0133,XL,In Stock,Google Ads,100,High,29638.68,4692.790999999999,True
CUST00134,17,Mumbai,Returning,ORD000134,00:24:41,500.0,Wallet,6,5,Yes,Dresses,SKU0134,XL,In Stock,Email Marketing,94,Low,3000.0,475.0,True
CUST00135,8,Pune,New,ORD000135,00:54:57,3270.75,Wallet,1,10,No,Jackets,SKU0135,M,In Stock,Google Ads,86,Very Low,3270.75,2943.675,False
CUST00136,35,Mumbai,Returning,ORD000136,00:28:39,2114.78,COD,1,20,Yes,Jeans,SKU0136,S,Out of Stock,Google Ads,56,Medium,2114.78,1691.8240000000003,False
CUST00137,35,Kolkata,Returning,ORD000137,00:58:34,4957.17,Net Banking,3,20,Yes,Jackets,SKU0137,L,In Stock,Facebook Ads,90,Medium,14871.51,3965.7360000000003,False
CUST00138,33,Pune,Returning,ORD000138,00:30:27,4751.56,Credit Card,3,5,Yes,Shirts,SKU0138,S,In Stock,Instagram,85,Medium,14254.68,4513.982,False
CUST00139,59,Jaipur,Returning,ORD000139,00:55:41,3048.26,Wallet,4,0,Yes,Jeans,SKU0139,XL,In Stock,Word of Mouth,26,High,12193.04,3048.26,False
CUST00140,5,Kolkata,New,ORD000140,00:18:55,500.0,Net Banking,2,20,No,Shirts,SKU0140,M,In Stock,Instagram,53,Very Low,1000.0,400.0,False
CUST00141,42,Bangalore,Returning,ORD000141,00:11:43,1639.17,Wallet,9,0,Yes,Shirts,SKU0141,M,Out of Stock,Instagram,3,Medium,14752.53,1639.17,False
CUST00142,39,Pune,Returning,ORD000142,00:33:42,1803.41,Wallet,7,15,Yes,Dresses,SKU0142,L,In Stock,Google Ads,87,Medium,12623.87,1532.8985,True
CUST00143,58,Jaipur,Returning,ORD000143,00:18:23,510.32,Credit Card,7,20,Yes,Jeans,SKU0143,M,In Stock,Facebook Ads,22,High,3572.24,408.25600000000003,True
CUST00144,41,Chennai,Returning,ORD000144,00:46:51,4231.88,Credit Card,6,25,Yes,Shirts,SKU0144,M,In Stock,Instagram,47,Medium,25391.28,3173.91,True
CUST00145,28,Mumbai,Returning,ORD000145,00:49:33,500.0,Wallet,3,25,Yes,Sweatshirts,SKU0145,M,In Stock,Email Marketing,82,Low,1500.0,375.0,False
CUST00146,7,Delhi,New,ORD000146,00:36:35,5447.99,UPI,6,30,No,Shirts,SKU0146,M,In Stock,Email Marketing,41,Very Low,32687.94,3813.5929999999994,True
CUST00147,9,Hyderabad,New,ORD000147,00:14:25,5444.23,Wallet,8,10,No,Sweatshirts,SKU0147,M,In Stock,Instagram,2,Very Low,43553.84,4899.807,True
CUST00148,8,Mumbai,New,ORD000148,00:10:49,1922.41,Wallet,8,25,No,Jeans,SKU0148,XL,In Stock,Google Ads,90,Very Low,15379.28,1441.8075000000001,True
CUST00149,12,Jaipur,New,ORD000149,00:21:16,2992.74,COD,9,20,No,Jackets,SKU0149,S,In Stock,Google Ads,2,Very Low,26934.659999999996,2394.192,True
CUST00150,34,Mumbai,Returning,ORD000150,00:47:56,2391.57,COD,1,0,Yes,Jeans,SKU0150,XXL,In Stock,Word of Mouth,27,Medium,2391.57,2391.57,False
